[[  5.00000000e+00]
 [  1.70000000e+01]
 [  8.30000000e+01]
 [  1.59000000e+02]
 [  2.37000000e+02]
 [  3.16000000e+02]
 [  3.96000000e+02]
 [  4.76000000e+02]
 [  5.57000000e+02]
 [  6.37000000e+02]
 [  7.17000000e+02]
 [  7.98000000e+02]
 [  8.76000000e+02]
 [  9.55000000e+02]
 [  1.03500000e+03]
 [  1.11400000e+03]
 [  1.19300000e+03]
 [  1.27200000e+03]
 [  1.35200000e+03]
 [  1.43100000e+03]
 [  1.51400000e+03]
 [  1.59700000e+03]
 [  1.67900000e+03]
 [  1.76100000e+03]
 [  1.84400000e+03]
 [  1.92700000e+03]
 [  2.00900000e+03]
 [  2.09200000e+03]
 [  2.17500000e+03]
 [  2.25700000e+03]
 [  2.34000000e+03]
 [  2.42200000e+03]
 [  2.50400000e+03]
 [  2.58600000e+03]
 [  2.66900000e+03]
 [  2.75100000e+03]
 [  2.83300000e+03]
 [  2.91500000e+03]
 [  2.99800000e+03]
 [  3.08000000e+03]
 [  3.16200000e+03]
 [  3.24300000e+03]
 [  3.32500000e+03]
 [  3.40700000e+03]
 [  3.48800000e+03]
 [  3.57100000e+03]
 [  3.65300000e+03]
 [  3.73300000e+03]
 [  3.81400000e+03]
 [  3.89800000e+03]
 [  3.97800000e+03]
 [  4.06000000e+03]
 [  4.14000000e+03]
 [  4.22300000e+03]
 [  4.30400000e+03]
 [  4.38700000e+03]
 [  4.46900000e+03]
 [  4.55000000e+03]
 [  4.63100000e+03]
 [  4.71200000e+03]
 [  4.79200000e+03]
 [  4.87300000e+03]
 [  4.95300000e+03]
 [  5.03400000e+03]
 [  5.11400000e+03]
 [  5.19600000e+03]
 [  5.27700000e+03]
 [  5.35800000e+03]
 [  5.43900000e+03]
 [  5.52100000e+03]
 [  5.60300000e+03]
 [  5.68500000e+03]
 [  5.76700000e+03]
 [  5.84800000e+03]
 [  5.93100000e+03]
 [  6.01800000e+03]
 [  6.09200000e+03]
 [  6.16700000e+03]
 [  6.24000000e+03]
 [  6.31400000e+03]
 [  6.38800000e+03]
 [  6.46200000e+03]
 [  6.53600000e+03]
 [  6.61000000e+03]
 [  6.68900000e+03]
 [  6.76800000e+03]
 [  6.84700000e+03]
 [  6.92500000e+03]
 [  7.00400000e+03]
 [  7.08300000e+03]
 [  7.16300000e+03]
 [  7.24100000e+03]
 [  7.32500000e+03]
 [  7.40800000e+03]
 [  7.49100000e+03]
 [  7.57400000e+03]
 [  7.65700000e+03]
 [  7.74000000e+03]
 [  7.82400000e+03]
 [  7.90800000e+03]][[   10.]
 [   77.]
 [  155.]
 [  233.]
 [  312.]
 [  392.]
 [  471.]
 [  549.]
 [  627.]
 [  705.]
 [  783.]
 [  862.]
 [  941.]
 [ 1019.]
 [ 1098.]
 [ 1180.]
 [ 1263.]
 [ 1346.]
 [ 1428.]
 [ 1511.]
 [ 1593.]
 [ 1676.]
 [ 1758.]
 [ 1841.]
 [ 1923.]
 [ 2006.]
 [ 2089.]
 [ 2171.]
 [ 2254.]
 [ 2336.]
 [ 2419.]
 [ 2501.]
 [ 2583.]
 [ 2666.]
 [ 2748.]
 [ 2830.]
 [ 2912.]
 [ 2994.]
 [ 3077.]
 [ 3159.]
 [ 3240.]
 [ 3322.]
 [ 3403.]
 [ 3485.]
 [ 3567.]
 [ 3650.]
 [ 3730.]
 [ 3810.]
 [ 3894.]
 [ 3975.]
 [ 4057.]
 [ 4137.]
 [ 4219.]
 [ 4301.]
 [ 4384.]
 [ 4466.]
 [ 4547.]
 [ 4628.]
 [ 4709.]
 [ 4789.]
 [ 4869.]
 [ 4950.]
 [ 5030.]
 [ 5111.]
 [ 5192.]
 [ 5274.]
 [ 5355.]
 [ 5436.]
 [ 5518.]
 [ 5600.]
 [ 5682.]
 [ 5764.]
 [ 5845.]
 [ 5928.]
 [ 6015.]
 [ 6088.]
 [ 6163.]
 [ 6237.]
 [ 6311.]
 [ 6385.]
 [ 6459.]
 [ 6533.]
 [ 6607.]
 [ 6686.]
 [ 6765.]
 [ 6844.]
 [ 6922.]
 [ 7001.]
 [ 7079.]
 [ 7159.]
 [ 7238.]
 [ 7321.]
 [ 7405.]
 [ 7488.]
 [ 7571.]
 [ 7654.]
 [ 7737.]
 [ 7821.]
 [ 7905.]
 [ 7988.]]
